miRNA	disease	label	score
hsa-mir-99a	Abortion, Habitual	0	1.582996e-04
hsa-mir-130a	Abortion, Habitual	0	1.408831e-04
hsa-mir-382	Abortion, Habitual	0	3.743820e-05
hsa-mir-483	Abortion, Habitual	0	1.114251e-04
hsa-let-7b	Abortion, Habitual	0	3.008954e-04
hsa-let-7c	Abortion, Habitual	0	2.829317e-04
hsa-let-7d	Abortion, Habitual	0	2.421918e-04
hsa-mir-106b	Abortion, Habitual	0	2.853992e-04
hsa-mir-132	Abortion, Habitual	0	1.721537e-04
hsa-mir-137	Abortion, Habitual	0	1.517676e-04
hsa-mir-139	Abortion, Habitual	0	8.411525e-05
hsa-mir-15b	Abortion, Habitual	0	2.567664e-04
hsa-mir-222	Abortion, Habitual	0	3.676973e-04
hsa-mir-23b	Abortion, Habitual	0	1.657822e-04
hsa-mir-28	Abortion, Habitual	0	9.310107e-05
hsa-mir-301a	Abortion, Habitual	0	9.495986e-05
hsa-mir-301b	Abortion, Habitual	0	2.762401e-05
hsa-mir-335	Abortion, Habitual	0	1.655684e-04
hsa-mir-375	Abortion, Habitual	0	1.892579e-04
hsa-mir-376a	Abortion, Habitual	0	4.489052e-05
hsa-mir-376b	Abortion, Habitual	0	3.550085e-05
hsa-mir-376c	Abortion, Habitual	0	5.887013e-05
hsa-mir-424	Abortion, Habitual	0	1.034983e-04
hsa-mir-491	Abortion, Habitual	0	9.125660e-05
hsa-mir-675	Abortion, Habitual	0	2.841141e-05
hsa-mir-199a	Abortion, Habitual	0	3.589399e-04
hsa-mir-410	Abortion, Habitual	0	3.861257e-05
hsa-mir-107	Abortion, Habitual	0	1.755854e-04
hsa-mir-124	Abortion, Habitual	0	2.258778e-04
hsa-mir-128	Abortion, Habitual	0	1.221598e-04
hsa-mir-144	Abortion, Habitual	0	9.750727e-05
hsa-mir-153	Abortion, Habitual	0	7.349831e-05
hsa-mir-181c	Abortion, Habitual	0	1.109419e-04
hsa-mir-34c	Abortion, Habitual	0	2.803459e-04
hsa-mir-590	Abortion, Habitual	0	2.836153e-05
hsa-mir-9	Abortion, Habitual	0	2.592949e-04
hsa-mir-26a	Abortion, Habitual	0	2.491585e-04
hsa-mir-206	Abortion, Habitual	0	2.356358e-04
hsa-mir-485	Abortion, Habitual	0	5.984284e-05
hsa-mir-509	Abortion, Habitual	0	4.443149e-05
hsa-mir-765	Abortion, Habitual	0	2.826627e-05
hsa-mir-29c	Abortion, Habitual	0	3.265435e-04
hsa-mir-30d	Abortion, Habitual	0	1.035609e-04
hsa-mir-30e	Abortion, Habitual	0	1.087279e-04
hsa-mir-140	Abortion, Habitual	0	1.337916e-04
hsa-mir-19a	Abortion, Habitual	0	3.739980e-04
hsa-mir-346	Abortion, Habitual	0	3.011390e-05
hsa-mir-363	Abortion, Habitual	0	8.541878e-05
hsa-mir-498	Abortion, Habitual	0	5.118583e-05
hsa-let-7f	Abortion, Habitual	0	2.322063e-04
hsa-let-7g	Abortion, Habitual	0	2.150237e-04
hsa-let-7i	Abortion, Habitual	0	2.367820e-04
hsa-mir-138	Abortion, Habitual	0	1.338863e-04
hsa-mir-149	Abortion, Habitual	0	1.035664e-04
hsa-mir-197	Abortion, Habitual	0	1.082965e-04
hsa-mir-23a	Abortion, Habitual	0	2.256930e-04
hsa-mir-497	Abortion, Habitual	0	1.057134e-04
hsa-mir-548b	Abortion, Habitual	0	3.293921e-05
hsa-mir-10a	Abortion, Habitual	0	1.148594e-04
hsa-mir-127	Abortion, Habitual	0	1.316229e-04
hsa-mir-296	Abortion, Habitual	0	1.010220e-04
hsa-mir-422a	Abortion, Habitual	0	3.521317e-05
hsa-mir-142	Abortion, Habitual	0	2.930468e-04
hsa-mir-193a	Abortion, Habitual	0	1.237079e-04
hsa-mir-328	Abortion, Habitual	0	1.272918e-04
hsa-mir-486	Abortion, Habitual	0	2.029196e-04
hsa-mir-519b	Abortion, Habitual	0	2.550193e-05
hsa-mir-129	Abortion, Habitual	0	1.032411e-04
hsa-mir-181d	Abortion, Habitual	0	8.099864e-05
hsa-mir-212	Abortion, Habitual	0	1.425144e-04
hsa-mir-381	Abortion, Habitual	0	6.660783e-05
hsa-mir-431	Abortion, Habitual	0	3.755121e-05
hsa-mir-432	Abortion, Habitual	0	5.606850e-05
hsa-mir-539	Abortion, Habitual	0	4.115873e-05
hsa-mir-550a	Abortion, Habitual	0	4.392889e-05
hsa-mir-598	Abortion, Habitual	0	1.917955e-05
hsa-mir-652	Abortion, Habitual	0	2.876614e-05
hsa-mir-663a	Abortion, Habitual	0	9.306065e-05
hsa-mir-302a	Abortion, Habitual	0	1.241331e-04
hsa-mir-371a	Abortion, Habitual	0	7.636708e-05
hsa-mir-372	Abortion, Habitual	0	1.219084e-04
hsa-mir-373	Abortion, Habitual	0	1.585713e-04
hsa-mir-383	Abortion, Habitual	0	5.193472e-05
hsa-mir-520d	Abortion, Habitual	0	7.674290e-05
hsa-mir-105	Abortion, Habitual	0	1.811137e-05
hsa-mir-147b	Abortion, Habitual	0	2.530011e-05
hsa-mir-302c	Abortion, Habitual	0	1.139455e-04
hsa-mir-708	Abortion, Habitual	0	1.079905e-04
hsa-mir-326	Abortion, Habitual	0	7.731459e-05
hsa-mir-92b	Abortion, Habitual	0	9.281592e-05
hsa-mir-103b	Abortion, Habitual	0	4.663148e-05
hsa-mir-122	Abortion, Habitual	0	3.400350e-04
hsa-mir-1245a	Abortion, Habitual	0	6.231283e-06
hsa-mir-1245b	Abortion, Habitual	0	6.231283e-06
hsa-mir-1258	Abortion, Habitual	0	1.128907e-05
hsa-mir-1290	Abortion, Habitual	0	3.695702e-05
hsa-mir-1323	Abortion, Habitual	0	6.231283e-06
hsa-mir-135b	Abortion, Habitual	0	9.898585e-05
hsa-mir-1469	Abortion, Habitual	0	6.231283e-06
hsa-mir-1471	Abortion, Habitual	0	1.473001e-05
hsa-mir-147a	Abortion, Habitual	0	2.830282e-05
hsa-mir-151b	Abortion, Habitual	0	4.004177e-05
hsa-mir-181	Abortion, Habitual	0	6.231283e-06
hsa-mir-181a	Abortion, Habitual	0	3.077847e-04
hsa-mir-187	Abortion, Habitual	0	5.325228e-05
hsa-mir-1915	Abortion, Habitual	0	1.144794e-05
hsa-mir-199b	Abortion, Habitual	0	1.691772e-04
hsa-mir-200	Abortion, Habitual	0	1.196756e-05
hsa-mir-202	Abortion, Habitual	0	1.937589e-05
hsa-mir-20b	Abortion, Habitual	0	1.519329e-04
hsa-mir-218	Abortion, Habitual	0	1.702762e-04
hsa-mir-22	Abortion, Habitual	0	1.599163e-04
hsa-mir-224	Abortion, Habitual	0	1.679848e-04
hsa-mir-2355	Abortion, Habitual	0	6.231283e-06
hsa-mir-24	Abortion, Habitual	0	2.348418e-04
hsa-mir-298	Abortion, Habitual	0	3.305366e-05
hsa-mir-299	Abortion, Habitual	0	3.205402e-05
hsa-mir-302b	Abortion, Habitual	0	1.259697e-04
hsa-mir-302d	Abortion, Habitual	0	8.158613e-05
hsa-mir-3130	Abortion, Habitual	0	6.231283e-06
hsa-mir-3186	Abortion, Habitual	0	6.231283e-06
hsa-mir-320a	Abortion, Habitual	0	1.192506e-04
hsa-mir-320b	Abortion, Habitual	0	3.130298e-05
hsa-mir-320d	Abortion, Habitual	0	3.736168e-05
hsa-mir-320e	Abortion, Habitual	0	1.259790e-05
hsa-mir-339	Abortion, Habitual	0	7.984040e-05
hsa-mir-340	Abortion, Habitual	0	4.089877e-05
hsa-mir-365a	Abortion, Habitual	0	7.302386e-05
hsa-mir-365b	Abortion, Habitual	0	5.212698e-05
hsa-mir-367	Abortion, Habitual	0	8.289752e-05
hsa-mir-374a	Abortion, Habitual	0	2.384489e-05
hsa-mir-409	Abortion, Habitual	0	3.885350e-05
hsa-mir-411	Abortion, Habitual	0	2.391094e-05
hsa-mir-423	Abortion, Habitual	0	7.640356e-05
hsa-mir-425	Abortion, Habitual	0	3.474130e-05
hsa-mir-4257	Abortion, Habitual	0	6.231283e-06
hsa-mir-4306	Abortion, Habitual	0	6.231283e-06
hsa-mir-450a	Abortion, Habitual	0	1.259790e-05
hsa-mir-450b	Abortion, Habitual	0	1.259790e-05
hsa-mir-451a	Abortion, Habitual	0	1.858013e-04
hsa-mir-488	Abortion, Habitual	0	3.799617e-05
hsa-mir-493	Abortion, Habitual	0	3.399105e-05
hsa-mir-495	Abortion, Habitual	0	3.900280e-05
hsa-mir-506	Abortion, Habitual	0	3.345889e-05
hsa-mir-510	Abortion, Habitual	0	2.757074e-05
hsa-mir-513a	Abortion, Habitual	0	5.078467e-05
hsa-mir-515	Abortion, Habitual	0	2.448608e-05
hsa-mir-516a	Abortion, Habitual	0	3.829415e-05
hsa-mir-516b	Abortion, Habitual	0	2.835834e-05
hsa-mir-519c	Abortion, Habitual	0	4.071509e-05
hsa-mir-519d	Abortion, Habitual	0	4.999018e-05
hsa-mir-519e	Abortion, Habitual	0	2.865123e-05
hsa-mir-520a	Abortion, Habitual	0	4.491905e-05
hsa-mir-520b	Abortion, Habitual	0	4.579806e-05
hsa-mir-520c	Abortion, Habitual	0	5.096600e-05
hsa-mir-520h	Abortion, Habitual	0	5.249106e-05
hsa-mir-526a	Abortion, Habitual	0	2.336952e-05
hsa-mir-584	Abortion, Habitual	0	3.735590e-05
hsa-mir-608	Abortion, Habitual	0	3.572597e-05
hsa-mir-625	Abortion, Habitual	0	6.517334e-05
hsa-mir-629	Abortion, Habitual	0	9.229984e-05
hsa-mir-632	Abortion, Habitual	0	1.299419e-05
hsa-mir-638	Abortion, Habitual	0	5.671676e-05
hsa-mir-661	Abortion, Habitual	0	1.704203e-05
hsa-mir-718	Abortion, Habitual	0	6.231283e-06
hsa-mir-874	Abortion, Habitual	0	3.260584e-05
hsa-mir-922	Abortion, Habitual	0	2.127031e-05
hsa-mir-96	Abortion, Habitual	0	1.675868e-04
hsa-mir-184	Abortion, Habitual	0	1.150297e-04
hsa-mir-302e	Abortion, Habitual	0	2.746762e-05
hsa-mir-302f	Abortion, Habitual	0	3.248072e-05
hsa-mir-2861	Abortion, Habitual	0	7.856327e-06
hsa-mir-3196	Abortion, Habitual	0	7.856327e-06
hsa-mir-378b	Abortion, Habitual	0	2.483141e-05
hsa-mir-378c	Abortion, Habitual	0	2.483141e-05
hsa-mir-378d	Abortion, Habitual	0	2.483141e-05
hsa-mir-378e	Abortion, Habitual	0	2.483141e-05
hsa-mir-378f	Abortion, Habitual	0	2.483141e-05
hsa-mir-378g	Abortion, Habitual	0	2.483141e-05
hsa-mir-378h	Abortion, Habitual	0	2.483141e-05
hsa-mir-378i	Abortion, Habitual	0	2.483141e-05
hsa-mir-455	Abortion, Habitual	0	2.357224e-05
hsa-mir-542	Abortion, Habitual	0	7.331154e-05
hsa-mir-572	Abortion, Habitual	0	1.625752e-05
hsa-mir-1202	Abortion, Habitual	0	6.366620e-06
hsa-mir-1224	Abortion, Habitual	0	5.206592e-05
hsa-mir-1231	Abortion, Habitual	0	6.366620e-06
hsa-mir-1234	Abortion, Habitual	0	6.366620e-06
hsa-mir-1249	Abortion, Habitual	0	1.185501e-05
hsa-mir-1271	Abortion, Habitual	0	1.133317e-05
hsa-mir-1301	Abortion, Habitual	0	6.366620e-06
hsa-mir-1303	Abortion, Habitual	0	1.158327e-05
hsa-mir-130b	Abortion, Habitual	0	8.865398e-05
hsa-mir-134	Abortion, Habitual	0	9.532349e-05
hsa-mir-190a	Abortion, Habitual	0	3.962015e-05
hsa-mir-208a	Abortion, Habitual	0	1.156879e-04
hsa-mir-2110	Abortion, Habitual	0	1.158327e-05
hsa-mir-216a	Abortion, Habitual	0	4.135552e-05
hsa-mir-217	Abortion, Habitual	0	4.333162e-05
hsa-mir-26	Abortion, Habitual	0	6.366620e-06
hsa-mir-323b	Abortion, Habitual	0	1.771836e-05
hsa-mir-330	Abortion, Habitual	0	3.823257e-05
hsa-mir-361	Abortion, Habitual	0	3.047226e-05
hsa-mir-370	Abortion, Habitual	0	1.013570e-04
hsa-mir-371	Abortion, Habitual	0	6.366620e-06
hsa-mir-379	Abortion, Habitual	0	1.819890e-05
hsa-mir-489	Abortion, Habitual	0	3.170497e-05
hsa-mir-490	Abortion, Habitual	0	3.470440e-05
hsa-mir-492	Abortion, Habitual	0	3.766656e-05
hsa-mir-499b	Abortion, Habitual	0	1.198775e-05
hsa-mir-500a	Abortion, Habitual	0	3.149941e-05
hsa-mir-500b	Abortion, Habitual	0	6.366620e-06
hsa-mir-502	Abortion, Habitual	0	2.916994e-05
hsa-mir-508	Abortion, Habitual	0	2.294053e-05
hsa-mir-512	Abortion, Habitual	0	2.412669e-05
hsa-mir-517a	Abortion, Habitual	0	4.354291e-05
hsa-mir-517c	Abortion, Habitual	0	6.366620e-06
hsa-mir-518b	Abortion, Habitual	0	2.356771e-05
hsa-mir-520e	Abortion, Habitual	0	3.464812e-05
hsa-mir-522	Abortion, Habitual	0	6.366620e-06
hsa-mir-526b	Abortion, Habitual	0	1.194863e-05
hsa-mir-527	Abortion, Habitual	0	6.366620e-06
hsa-mir-532	Abortion, Habitual	0	3.270668e-05
hsa-mir-602	Abortion, Habitual	0	1.972752e-05
hsa-mir-612	Abortion, Habitual	0	1.271583e-05
hsa-mir-615	Abortion, Habitual	0	2.826898e-05
hsa-mir-636	Abortion, Habitual	0	2.043809e-05
hsa-mir-637	Abortion, Habitual	0	3.998988e-05
hsa-mir-657	Abortion, Habitual	0	1.271583e-05
hsa-mir-92	Abortion, Habitual	0	6.366620e-06
hsa-mir-98	Abortion, Habitual	0	9.883581e-05
hsa-mir-1254	Abortion, Habitual	0	5.057785e-06
hsa-mir-186	Abortion, Habitual	0	5.847267e-05
hsa-mir-337	Abortion, Habitual	0	3.759450e-05
hsa-mir-3940	Abortion, Habitual	0	5.057785e-06
hsa-mir-451b	Abortion, Habitual	0	2.141719e-05
hsa-mir-574	Abortion, Habitual	0	9.432095e-05
hsa-mir-1233	Abortion, Habitual	0	5.503508e-06
hsa-mir-124a	Abortion, Habitual	0	5.503508e-06
hsa-mir-1285	Abortion, Habitual	0	5.503508e-06
hsa-mir-514a	Abortion, Habitual	0	1.099190e-05
hsa-mir-571	Abortion, Habitual	0	3.008771e-05
hsa-mir-760	Abortion, Habitual	0	1.072016e-05
hsa-mir-1827	Abortion, Habitual	0	1.204844e-05
hsa-mir-185	Abortion, Habitual	0	4.891008e-05
hsa-mir-211	Abortion, Habitual	0	6.034122e-05
hsa-mir-504	Abortion, Habitual	0	2.421168e-05
hsa-mir-885	Abortion, Habitual	0	2.396463e-05
hsa-mir-151	Abortion, Habitual	0	1.059517e-05
hsa-mir-494	Abortion, Habitual	0	1.024802e-04
hsa-mir-941	Abortion, Habitual	0	1.314627e-05
hsa-mir-32	Abortion, Habitual	0	9.437116e-05
hsa-mir-518c	Abortion, Habitual	0	2.241697e-05
hsa-mir-552	Abortion, Habitual	0	5.084266e-06
hsa-mir-622	Abortion, Habitual	0	2.512181e-05
hsa-mir-630	Abortion, Habitual	0	1.947351e-05
hsa-mir-1179	Abortion, Habitual	0	5.216654e-06
hsa-mir-1273c	Abortion, Habitual	0	5.216654e-06
hsa-mir-1275	Abortion, Habitual	0	5.216654e-06
hsa-mir-1280	Abortion, Habitual	0	1.642569e-05
hsa-mir-216b	Abortion, Habitual	0	3.582834e-05
hsa-mir-297	Abortion, Habitual	0	2.094756e-05
hsa-mir-567	Abortion, Habitual	0	5.216654e-06
hsa-mir-646	Abortion, Habitual	0	1.070505e-05
hsa-mir-624	Abortion, Habitual	0	1.103854e-05
hsa-mir-659	Abortion, Habitual	0	1.552159e-05
hsa-mir-377	Abortion, Habitual	0	1.762079e-05
hsa-mir-325	Abortion, Habitual	0	3.313497e-05
hsa-mir-633	Abortion, Habitual	0	6.151584e-06
hsa-mir-520f	Abortion, Habitual	0	2.322371e-05
hsa-mir-520g	Abortion, Habitual	0	2.322371e-05
hsa-mir-720	Abortion, Habitual	0	2.705271e-05
hsa-mir-873	Abortion, Habitual	0	1.251426e-05
hsa-mir-592	Abortion, Habitual	0	7.868721e-06
hsa-mir-596	Abortion, Habitual	0	2.703566e-05
hsa-mir-1286	Abortion, Habitual	0	1.878443e-05
hsa-mir-1322	Abortion, Habitual	0	5.013093e-06
hsa-mir-548d	Abortion, Habitual	0	1.697989e-05
hsa-mir-593	Abortion, Habitual	0	1.050149e-05
hsa-mir-617	Abortion, Habitual	0	5.013093e-06
hsa-mir-758	Abortion, Habitual	0	5.013093e-06
hsa-mir-766	Abortion, Habitual	0	5.013093e-06
hsa-mir-451	Abortion, Habitual	0	1.399049e-05
hsa-mir-548c	Abortion, Habitual	0	1.503903e-05
hsa-mir-1260a	Abortion, Habitual	0	5.736277e-06
hsa-mir-1305	Abortion, Habitual	0	5.736277e-06
hsa-mir-3163	Abortion, Habitual	0	5.736277e-06
hsa-mir-323a	Abortion, Habitual	0	4.345164e-05
hsa-mir-329	Abortion, Habitual	0	1.407498e-05
hsa-mir-544a	Abortion, Habitual	0	1.082478e-05
hsa-mir-544b	Abortion, Habitual	0	1.082478e-05
hsa-mir-1207	Abortion, Habitual	0	1.702903e-05
hsa-mir-154	Abortion, Habitual	0	4.703010e-05
hsa-mir-545	Abortion, Habitual	0	1.302599e-05
hsa-mir-628	Abortion, Habitual	0	2.591263e-05
hsa-mir-136	Abortion, Habitual	0	2.255975e-05
hsa-mir-300	Abortion, Habitual	0	1.678767e-05
hsa-mir-507	Abortion, Habitual	0	1.107040e-05
hsa-mir-523	Abortion, Habitual	0	5.582007e-06
hsa-mir-525	Abortion, Habitual	0	2.635965e-05
hsa-mir-501	Abortion, Habitual	0	1.825607e-05
hsa-mir-583	Abortion, Habitual	0	1.336090e-05
hsa-mir-663	Abortion, Habitual	0	7.011690e-06
hsa-mir-1181	Abortion, Habitual	0	8.123926e-06
hsa-mir-448	Abortion, Habitual	0	8.123926e-06
hsa-mir-1287	Abortion, Habitual	0	1.377134e-05
hsa-mir-641	Abortion, Habitual	0	1.377134e-05
hsa-mir-1236	Abortion, Habitual	0	7.637726e-06
hsa-mir-33b	Abortion, Habitual	0	2.787007e-05
hsa-mir-384	Abortion, Habitual	0	2.193171e-05
hsa-mir-487a	Abortion, Habitual	0	8.256866e-06
hsa-mir-4792	Abortion, Habitual	0	1.359224e-05
hsa-mir-331	Abortion, Habitual	0	2.237005e-05
hsa-mir-575	Abortion, Habitual	0	1.286007e-05
hsa-mir-660	Abortion, Habitual	0	6.510857e-06
hsa-mir-640	Abortion, Habitual	0	1.945541e-05
hsa-mir-369	Abortion, Habitual	0	1.046889e-05
hsa-mir-564	Abortion, Habitual	0	1.046889e-05
hsa-mir-3151	Abortion, Habitual	0	5.245973e-06
hsa-mir-711	Abortion, Habitual	0	9.981119e-06
hsa-mir-513b	Abortion, Habitual	0	2.654901e-05
hsa-mir-513c	Abortion, Habitual	0	2.654901e-05
hsa-mir-668	Abortion, Habitual	0	1.212948e-05
hsa-mir-1297	Abortion, Habitual	0	4.743705e-06
hsa-mir-487b	Abortion, Habitual	0	2.332998e-05
hsa-mir-511	Abortion, Habitual	0	4.743705e-06
hsa-mir-3148	Abortion, Habitual	0	7.891837e-06
hsa-mir-569	Abortion, Habitual	0	7.891837e-06
hsa-mir-557	Abortion, Habitual	0	1.822061e-05
hsa-mir-600	Abortion, Habitual	0	6.349210e-06
hsa-mir-601	Abortion, Habitual	0	1.153882e-05
hsa-mir-611	Abortion, Habitual	0	6.349210e-06
hsa-mir-642a	Abortion, Habitual	0	2.330580e-05
hsa-mir-654	Abortion, Habitual	0	6.349210e-06
hsa-mir-658	Abortion, Habitual	0	1.153882e-05
hsa-mir-662	Abortion, Habitual	0	6.349210e-06
hsa-mir-769	Abortion, Habitual	0	6.349210e-06
hsa-mir-935	Abortion, Habitual	0	6.076286e-06
hsa-mir-518e	Abortion, Habitual	0	5.488392e-06
hsa-mir-621	Abortion, Habitual	0	5.488392e-06
hsa-mir-664	Abortion, Habitual	0	1.607663e-05
hsa-mir-767	Abortion, Habitual	0	1.875864e-05
hsa-mir-933	Abortion, Habitual	0	5.488392e-06
hsa-mir-561	Abortion, Habitual	0	1.580729e-05
hsa-mir-599	Abortion, Habitual	0	8.401195e-06
hsa-mir-614	Abortion, Habitual	0	8.401195e-06
hsa-mir-648	Abortion, Habitual	0	8.401195e-06
hsa-mir-671	Abortion, Habitual	0	2.584986e-05
hsa-mir-188	Abortion, Habitual	0	2.984255e-05
hsa-mir-663b	Abortion, Habitual	0	4.918661e-06
hsa-mir-190b	Abortion, Habitual	0	7.640671e-06
hsa-mir-1299	Abortion, Habitual	0	5.485017e-06
hsa-mir-603	Abortion, Habitual	0	5.890514e-06
hsa-mir-548a	Abortion, Habitual	0	1.203184e-05
hsa-mir-1256	Abortion, Habitual	0	5.750923e-06
hsa-mir-1296	Abortion, Habitual	0	5.750923e-06
hsa-mir-521	Abortion, Habitual	0	5.750923e-06
hsa-mir-616	Abortion, Habitual	0	5.750923e-06
hsa-mir-642b	Abortion, Habitual	0	1.147157e-05
hsa-mir-647	Abortion, Habitual	0	5.750923e-06
hsa-mir-1266	Abortion, Habitual	0	1.235556e-05
hsa-mir-1183	Abortion, Habitual	0	8.498726e-06
